FIPS,EDU_PESS_Districts,EDU_PESS_Schools,EDU_PESS_Local_Inst,EDU_PESS_Students
19169,7,26,26,11376
19171,3,7,7,2629
19173,2,4,4,964
19175,2,6,6,1921
19177,2,3,3,860
19179,4,15,15,6254
19181,5,19,19,9636
19183,3,14,14,4001
19185,3,6,6,1030
19187,3,11,11,5082
19189,3,9,9,2351
19191,4,12,12,2606
19193,7,34,34,18191
19195,2,6,6,958
19197,3,9,9,2663
20001,4,10,10,2197
20003,2,6,6,1220
20005,2,6,6,2281
20007,2,4,4,754
20009,3,14,14,4179
20011,2,6,6,2324
20013,3,6,6,1518
20015,10,45,45,17075
20017,1,2,2,347
20019,2,4,4,574
20021,4,14,14,3789
20023,2,4,4,412
20025,2,5,5,445
20027,1,6,6,1353
20029,3,10,10,1416
20031,3,11,11,1518
20033,1,3,3,344
20035,6,22,21,5844
20037,7,17,17,5924
20039,1,2,2,347
20041,4,16,16,3704
20043,4,9,9,1409
20045,4,28,28,15289
20047,2,3,3,424
20049,2,3,3,484
20051,3,10,10,3925
20053,2,8,8,991
20055,2,21,21,8694
20057,3,16,16,7855
20059,4,15,15,4463
20061,1,17,17,7433
20063,3,6,6,457
20065,1,2,2,381
20067,2,4,4,1765
20069,5,8,8,1119
20071,1,2,2,257
20073,3,6,6,946
20075,1,2,2,547
20077,2,5,5,1045
20079,5,18,18,5580
20081,3,5,5,776
20083,1,2,2,292
20085,3,8,8,2339
20087,7,15,15,3312
20089,1,2,2,318
20091,6,150,148,95973
20093,2,6,6,869
20095,2,9,9,1159
20097,2,4,4,491
20099,5,20,19,3638
20101,2,4,4,318
20103,7,26,25,13383
20105,2,4,4,471
20107,3,8,8,1908
20109,3,5,5,496
20111,3,15,15,5566
20113,5,17,17,5313
20115,6,10,10,2163
20117,3,9,9,1708
20119,2,4,4,770
20121,4,19,19,5568
20123,2,5,5,994
20125,5,13,13,5468
20127,2,7,7,800
20129,2,7,7,1287
20131,2,9,9,1921
20133,2,6,6,2702
20135,2,5,5,436
20137,2,6,6,778
20139,6,13,13,2739
20141,2,4,4,546
20143,2,6,6,1221
20145,3,7,6,1121
20147,3,5,5,941
20149,4,13,13,3703
20151,3,5,5,1526
20153,1,2,2,335
20155,8,31,30,9456
20157,2,5,5,767
20159,4,12,12,1728
20161,3,17,17,7746
20163,3,7,7,784
20165,2,6,6,526
20167,1,4,4,981
20169,3,16,16,8141
20171,1,3,3,1016
20173,12,154,154,84916
20175,2,15,15,5510
20177,8,54,52,28699
20179,2,5,5,523
20181,1,3,3,901
20183,2,5,5,521
20185,3,6,6,823
20187,1,2,2,453
20189,2,6,6,1238
20191,8,20,20,3822
20193,2,5,5,1132
20195,1,2,2,413
20197,2,7,7,1043
20199,2,4,4,306
20201,2,6,6,1007
20203,1,2,2,412
20205,3,7,7,1573
20207,1,2,2,491
20209,5,61,59,30800
21001,1,5,5,2631
21003,1,5,5,3067
21005,1,8,8,3790
21007,1,5,5,1379
21009,3,21,21,7870
21011,1,5,5,2075
21013,3,18,18,4726
21015,2,28,28,22412
21017,2,10,10,3633
21019,4,22,22,7292
21021,3,14,13,4740
21023,2,4,4,1550
21025,2,9,9,2305
21027,2,9,9,3210
21029,1,25,25,13322
21031,1,6,6,2276
21033,1,4,4,2026
21035,3,12,12,4820
21037,8,26,26,11865
21039,1,3,3,767
21041,1,7,7,2113
21043,1,12,12,4573
21045,1,5,5,2338
21047,1,19,19,8803
21049,1,9,9,5567
21051,1,11,11,3296
21053,1,5,5,1783
21055,1,4,4,1370
21057,1,3,3,915
21059,2,35,35,16889
21061,1,5,5,1967
21063,1,4,4,1071
21065,1,7,7,2398
21067,2,77,77,41501
21069,1,6,6,2312
21071,1,17,17,5941
21073,3,71,18,7220
21075,2,3,3,1000
21077,1,4,4,1670
21079,1,5,5,2729
21081,2,10,10,4778
21083,2,14,14,6316
21085,1,8,8,4330
21087,1,4,4,1620
21089,3,16,16,6212
21091,1,4,4,1708
21093,3,36,36,17206
21095,2,14,14,4895
21097,1,7,7,3014
21099,1,6,6,2785
21101,1,13,13,7587
21103,2,8,8,3019
21105,1,2,2,766
21107,2,22,22,7586
21109,1,7,7,2303
21111,4,176,175,100243
21113,1,13,13,8262
21115,2,14,14,4400
21117,5,46,46,23142
21119,1,7,7,2376
21121,2,13,13,5344
21123,1,5,5,2360
21125,2,20,20,9794
21127,1,6,6,2574
21129,1,2,2,950
21131,1,6,6,1781
21133,2,11,11,3619
21135,1,7,7,2290
21137,1,9,9,3936
21139,1,4,4,1239
21141,2,8,8,4679
21143,1,5,5,927
21145,2,21,21,10288
21147,1,8,8,2974
21149,1,5,5,1620
21151,3,24,24,13018
21153,1,5,5,2167
21155,1,8,8,3256
21157,1,11,11,4922
21159,1,6,6,2013
21161,1,4,4,2823
21163,1,10,10,4960
21165,1,3,3,1027
21167,2,7,7,3350
21169,1,3,3,1657
21171,1,5,5,1838
21173,1,11,11,4901
21175,1,8,8,2029
21177,1,11,11,4880
21179,2,17,17,7412
21181,1,2,2,1194
21183,1,10,10,4344
21185,1,21,21,12471
21187,1,3,3,1904
21189,1,2,2,776
21191,1,4,4,2426
21193,3,18,18,5165
21195,2,23,23,10061
21197,1,6,6,2461
21199,3,18,18,10563
21201,1,1,1,405
21203,1,6,6,2878
21205,2,11,11,3308
21207,1,5,5,3074
21209,1,16,16,9263
21211,2,14,14,7127
